998089, 34.066365, -118.17067316666666, +01.158,  -02.442,  +19.3,  +22.1, $GNRMC, 205836.00, A, 3403.98190, N, 11810.24039, W, 0.177, , 260324, , , D, V*01
998089, 34.0663635, -118.1706765, +01.101,  -02.559,  +20.3,  +22.1, $GNRMC, 205839.00, A, 3403.98181, N, 11810.24059, W, 0.233, , 260324, , , D, V*0B
998089, 34.0663635, -118.1706765, +01.101,  -02.559,  +20.3,  +22.1, $GNRMC, 205839.00, A, 3403.98181, N, 11810.24059, W, 0.233, , 260324, , , D, V*0B
998089, 34.06636066666667, -118.170682, +01.080,  -03.071,  +20.3,  +22.1, $GNRMC, 205842.00, A, 3403.98164, N, 11810.24092, W, 0.440, 263.29, 260324, , , D, V*1B
998089, 34.06636066666667, -118.17068433333333, +00.780,  -02.759,  +19.3,  +22.1, $GNRMC, 205843.00, A, 3403.98164, N, 11810.24106, W, 0.213, , 260324, , , D, V*04
998089, 34.06636066666667, -118.17068433333333, +00.984,  -02.695,  +20.3,  +22.1, $GNRMC, 205843.00, A, 3403.98164, N, 11810.24106, W, 0.213, , 260324, , , D, V*04
998089, 34.066357833333335, -118.17068833333333, +01.044,  -02.550,  +20.3,  +22.1, $GNRMC, 205846.00, A, 3403.98147, N, 11810.24130, W, 0.186, , 260324, , , D, V*0A
998089, 34.066356999999996, -118.17068933333333, +01.120,  -02.557,  +19.3,  +22.1, $GNRMC, 205847.00, A, 3403.98142, N, 11810.24136, W, 0.206, , 260324, , , D, V*03
998089, 34.066356999999996, -118.17068933333333, +01.265,  -02.386,  +19.3,  +22.1, $GNRMC, 205847.00, A, 3403.98142, N, 11810.24136, W, 0.206, , 260324, , , D, V*03
998089, 34.066356999999996, -118.17068933333333, +01.265,  -02.386,  +19.3,  +22.1, $GNRMC, 205847.00, A, 3403.98142, N, 11810.24136, W, 0.206, , 260324, , , D, V*03
998089, 34.066354833333335, -118.17069316666667, +01.088,  -02.444,  +19.3,  +22.1, $GNRMC, 205851.00, A, 3403.98129, N, 11810.24159, W, 0.228, , 260324, , , D, V*0C
998089, 34.0663545, -118.17069366666666, +00.675,  -01.984,  +19.3,  +22.1, $GNRMC, 205852.00, A, 3403.98127, N, 11810.24162, W, 0.204, , 260324, , , D, V*07
998089, 34.0663545, -118.17069366666666, +01.376,  -02.460,  +19.3,  +22.1, $GNRMC, 205852.00, A, 3403.98127, N, 11810.24162, W, 0.204, , 260324, , , D, V*07
998089, 34.0663545, -118.17069616666667, +00.998,  -02.659,  +19.3,  +22.1, $GNRMC, 205855.00, A, 3403.98127, N, 11810.24177, W, 0.255, , 260324, , , D, V*00
998089, 34.0663545, -118.1706975, +01.122,  -02.720,  +19.3,  +22.1, $GNRMC, 205856.00, A, 3403.98127, N, 11810.24185, W, 0.260, , 260324, , , D, V*08
998089, 34.0663545, -118.1706975, +00.951,  -02.624,  +19.3,  +22.1, $GNRMC, 205856.00, A, 3403.98127, N, 11810.24185, W, 0.260, , 260324, , , D, V*08
998089, 34.0663545, -118.1706975, +00.972,  -02.585,  +19.3,  +22.1, $GNRMC, 205856.00, A, 3403.98127, N, 11810.24185, W, 0.260, , 260324, , , D, V*08
998089, 34.0663545, -118.1706975, +00.975,  -02.521,  +19.3,  +22.1, $GNRMC, 205856.00, A, 3403.98127, N, 11810.24185, W, 0.260, , 260324, , , D, V*08
998089, 34.06635266666667, -118.170702, +00.975,  -02.521,  +19.3,  +22.1, $GNRMC, 205901.00, A, 3403.98116, N, 11810.24212, W, 0.207, , 260324, , , D, V*05
998089, 34.06635266666667, -118.170702, +00.498,  -02.316,  +20.3,  +22.1, $GNRMC, 205901.00, A, 3403.98116, N, 11810.24212, W, 0.207, , 260324, , , D, V*05
998089, 34.06635266666667, -118.170702, +00.498,  -02.316,  +20.3,  +22.1, $GNRMC, 205901.00, A, 3403.98116, N, 11810.24212, W, 0.207, , 260324, , , D, V*05
998089, 34.066351833333336, -118.17070533333333, +00.760,  -01.946,  +20.3,  +22.1, $GNRMC, 205905.00, A, 3403.98111, N, 11810.24232, W, 0.169, , 260324, , , D, V*0F
998089, 34.066351833333336, -118.17070533333333, +01.031,  -02.305,  +20.3,  +22.1, $GNRMC, 205905.00, A, 3403.98111, N, 11810.24232, W, 0.169, , 260324, , , D, V*0F
998089, 34.066349833333334, -118.17070766666667, +00.877,  -02.490,  +20.3,  +22.1, $GNRMC, 205908.00, A, 3403.98099, N, 11810.24246, W, 0.175, , 260324, , , D, V*0D
998089, 34.066349833333334, -118.17070766666667, +00.963,  -02.544,  +20.3,  +22.1, $GNRMC, 205908.00, A, 3403.98099, N, 11810.24246, W, 0.175, , 260324, , , D, V*0D
