998089, 34.066466, -118.17033816666667, +00.532,  -01.148,  +19.3,  +21.2, $GNRMC, 205305.00, A, 3403.98796, N, 11810.22029, W, 0.011, , 260324, , , A, V*09
998089, 34.06646533333333, -118.17033866666667, -00.049,  -00.975,  +19.3,  +21.2, $GNRMC, 205308.00, A, 3403.98792, N, 11810.22032, W, 0.196, , 260324, , , A, V*04
998089, 34.06646533333333, -118.17033866666667, -00.150,  -00.986,  +19.3,  +22.1, $GNRMC, 205308.00, A, 3403.98792, N, 11810.22032, W, 0.196, , 260324, , , A, V*04
998089, 34.06646283333333, -118.17033966666666, -00.679,  -00.929,  +19.3,  +22.1, $GNRMC, 205311.00, A, 3403.98777, N, 11810.22038, W, 0.179, , 260324, , , A, V*0C
998089, 34.06646283333333, -118.17033966666666, -00.393,  -01.239,  +19.3,  +22.1, $GNRMC, 205311.00, A, 3403.98777, N, 11810.22038, W, 0.179, , 260324, , , A, V*0C
998089, 34.066461333333336, -118.17034116666666, -00.393,  -01.239,  +19.3,  +22.1, $GNRMC, 205314.00, A, 3403.98768, N, 11810.22047, W, 0.160, , 260324, , , A, V*07
998089, 34.066461333333336, -118.17034116666666, +00.157,  +00.148,  +19.3,  +22.1, $GNRMC, 205314.00, A, 3403.98768, N, 11810.22047, W, 0.160, , 260324, , , A, V*07
998089, 34.06646083333333, -118.17034183333334, +00.623,  +00.195,  +19.3,  +22.1, $GNRMC, 205316.00, A, 3403.98765, N, 11810.22051, W, 0.155, , 260324, , , A, V*09
998089, 34.06646083333333, -118.17034183333334, +00.573,  +00.069,  +19.3,  +22.1, $GNRMC, 205316.00, A, 3403.98765, N, 11810.22051, W, 0.155, , 260324, , , A, V*09
998089, 34.06645916666667, -118.17034366666667, +00.676,  -00.187,  +19.3,  +22.1, $GNRMC, 205319.00, A, 3403.98755, N, 11810.22062, W, 0.169, , 260324, , , A, V*0A
998089, 34.066459, -118.17034466666667, +00.676,  -00.187,  +19.3,  +22.1, $GNRMC, 205320.00, A, 3403.98754, N, 11810.22068, W, 0.173, , 260324, , , A, V*00
998089, 34.066459, -118.17034466666667, +00.829,  -00.593,  +19.3,  +22.1, $GNRMC, 205320.00, A, 3403.98754, N, 11810.22068, W, 0.173, , 260324, , , A, V*00
998089, 34.06645733333333, -118.1703485, +00.829,  -00.593,  +19.3,  +22.1, $GNRMC, 205323.00, A, 3403.98744, N, 11810.22091, W, 0.227, , 260324, , , A, V*06
998089, 34.06645616666667, -118.17034983333333, +00.990,  -00.647,  +19.3,  +22.1, $GNRMC, 205324.00, A, 3403.98737, N, 11810.22099, W, 0.203, , 260324, , , A, V*0B
